Group Number,Mode,Type,Response ID,Mongo ID,Session ID,Interviewer Name,Interviewer Member ID,Survey Name,Start Time,End Time,Duration (seconds),Status,Call ID,Audio URL,Audio Duration,Audio File Size,Latitude,Longitude,Response Count,Created At,Time Difference (ms)
1,CAPI,ORIGINAL,d1726584-ae04-4cfd-85ea-d804976db990,6953fd8ea0fb317aeb5e4bda,44986ddc-c7c1-4173-9da5-2cde38933dcf,"6942c47ffe90bbe7745f706d",N/A,"68fd1915d41841da463f0d46",2025-12-30T16:04:00.449Z,2025-12-30T16:08:03.680Z,243,Pending_Approval,,audio/interviews/2025/12/7529c6ce-a28b-4cff-aaa5-19e87aaf4aa3_1767112031986_interview_7529c6ce-a28b-4cff-aaa5-19e87aaf4aa3_1767112031716.m4a,243,0,22.55305582623428,88.35558593273163,27,2025-12-30T16:27:58.034Z,
1,CAPI,DUPLICATE,a9290b2c-194e-4116-aca1-73c50b15eea8,6953fdfcd4d17677eb0ce87d,ca98d2ab-ff2d-44f1-98fa-05386e4e9ae0,"6942c47ffe90bbe7745f706d",N/A,"68fd1915d41841da463f0d46",2025-12-30T16:04:00.449Z,2025-12-30T16:08:03.680Z,243,Pending_Approval,,audio/interviews/2025/12/7529c6ce-a28b-4cff-aaa5-19e87aaf4aa3_1767112031986_interview_7529c6ce-a28b-4cff-aaa5-19e87aaf4aa3_1767112031716.m4a,243,0,22.55305582623428,88.35558593273163,27,2025-12-30T16:29:49.016Z,0
2,CAPI,ORIGINAL,990c8ccd-bb9d-4051-9cbb-b1869b2de284,69513a62cdfc335e10b93d26,59c10e92-f252-4167-b3e9-5e9b1b43337a,"6948b89a790d328355c13c19",N/A,"68fd1915d41841da463f0d46",2025-12-27T10:09:21.299Z,2025-12-27T10:14:30.551Z,309,Pending_Approval,,audio/interviews/2025/12/13c2aa0f-ed43-4961-af3e-e984ae78e6ee_1766925187985_interview_13c2aa0f-ed43-4961-af3e-e984ae78e6ee_1766925187545.m4a,309,0,23.7389095,86.8187723,27,2025-12-28T14:10:42.360Z,
2,CAPI,DUPLICATE,98c06642-1729-435f-90c5-150dde0681c8,6953d9bbff3ce7260ed8f67f,e534f036-b75d-480c-9f8a-d1527032dd13,"6948b89a790d328355c13c19",N/A,"68fd1915d41841da463f0d46",2025-12-27T10:09:21.299Z,2025-12-27T10:14:30.551Z,309,Pending_Approval,,audio/interviews/2025/12/13c2aa0f-ed43-4961-af3e-e984ae78e6ee_1766925187985_interview_13c2aa0f-ed43-4961-af3e-e984ae78e6ee_1766925187545.m4a,309,0,23.7389095,86.8187723,27,2025-12-30T13:55:07.138Z,0
3,CAPI,ORIGINAL,ed86e154-7e10-44cb-b40b-9390caffb80a,6949776fcc08911090b3a0f5,225aefa6-e3ee-4e3b-9f92-a5502fc03649,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T09:24:55.460Z,2025-12-22T09:32:16.818Z,441,Pending_Approval,,audio/interviews/2025/12/225aefa6-e3ee-4e3b-9f92-a5502fc03649_1766422382657_interview_225aefa6-e3ee-4e3b-9f92-a5502fc03649_1766422382657.m4a,441,7054315,22.5204116,88.3607112,28,2025-12-22T16:53:03.272Z,
3,CAPI,DUPLICATE,bc3ee038-b621-4fb4-b49d-8b2a90ca4e42,694979df6aa957c8cefc660c,53acc0c7-b827-49ea-ae7c-4d971953b1dc,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T09:24:55.460Z,2025-12-22T09:32:16.818Z,441,Rejected,,audio/interviews/2025/12/53acc0c7-b827-49ea-ae7c-4d971953b1dc_1766423007002_interview_53acc0c7-b827-49ea-ae7c-4d971953b1dc_1766423006770.m4a,441,7054315,22.5204116,88.3607112,28,2025-12-22T17:03:27.712Z,0
4,CAPI,ORIGINAL,f95f3633-a540-4795-9201-d204191c167e,694977b7f3240b035f6c3046,779b8a8c-0854-4b70-8c30-47576a7e7985,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T10:22:21.846Z,2025-12-22T10:29:00.435Z,398,Pending_Approval,,audio/interviews/2025/12/779b8a8c-0854-4b70-8c30-47576a7e7985_1766422455041_interview_779b8a8c-0854-4b70-8c30-47576a7e7985_1766422455041.m4a,398,6363385,22.521621,88.361723,28,2025-12-22T16:54:15.663Z,
4,CAPI,DUPLICATE,079b14ad-e0dc-4fae-aa48-fbcdbaa35041,69497a57fd311fa0bec27a64,e7c4d869-69e7-4ba5-a82e-521c8c7685b4,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T10:22:21.846Z,2025-12-22T10:29:00.435Z,398,Rejected,,audio/interviews/2025/12/e7c4d869-69e7-4ba5-a82e-521c8c7685b4_1766423127391_interview_e7c4d869-69e7-4ba5-a82e-521c8c7685b4_1766423127390.m4a,398,6363385,22.521621,88.361723,28,2025-12-22T17:05:27.977Z,0
5,CAPI,ORIGINAL,61da3c72-bc30-46c8-812d-91032ea81eab,694979320e204012b87911c7,bfd65623-c8d4-4293-9213-623da12b59d8,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T11:20:26.133Z,2025-12-22T11:26:54.599Z,388,Pending_Approval,,audio/interviews/2025/12/bfd65623-c8d4-4293-9213-623da12b59d8_1766422494364_interview_bfd65623-c8d4-4293-9213-623da12b59d8_1766422494145.m4a,388,6198887,22.5212517,88.3620264,28,2025-12-22T17:00:34.163Z,
5,CAPI,DUPLICATE,98a09736-59b1-40b9-ad03-61394f9bf64b,694a8b889cf18db6a8a5ebac,37f98bf3-b523-493d-891b-a7acc1d321e2,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T11:20:26.133Z,2025-12-22T11:26:54.599Z,388,Rejected,,audio/interviews/2025/12/37f98bf3-b523-493d-891b-a7acc1d321e2_1766493017910_interview_37f98bf3-b523-493d-891b-a7acc1d321e2_1766493017910.m4a,388,6198887,22.5212517,88.3620264,28,2025-12-23T12:31:04.317Z,0
6,CAPI,ORIGINAL,e4f10163-f25a-4bba-8c0f-7bfb7cd7d17b,694979a182476b0d4ddc0dbc,31ec994f-8eda-4259-8374-688c7e3f5abb,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T12:26:14.874Z,2025-12-22T12:33:53.050Z,458,Pending_Approval,,audio/interviews/2025/12/31ec994f-8eda-4259-8374-688c7e3f5abb_1766422943383_interview_31ec994f-8eda-4259-8374-688c7e3f5abb_1766422943382.m4a,458,7326625,22.5227443,88.3623298,28,2025-12-22T17:02:25.808Z,
6,CAPI,DUPLICATE,c4a42648-de53-464b-bdad-43f3626f2e32,69497b120930fa35f985e1ed,b8bda3c9-7811-4e3a-9088-0fbdc9fbf951,"6942c39afe90bbe7745c9684",N/A,"68fd1915d41841da463f0d46",2025-12-22T12:26:14.874Z,2025-12-22T12:33:53.050Z,458,Rejected,,audio/interviews/2025/12/b8bda3c9-7811-4e3a-9088-0fbdc9fbf951_1766423314236_interview_b8bda3c9-7811-4e3a-9088-0fbdc9fbf951_1766423314236.m4a,458,7326625,22.5227443,88.3623298,28,2025-12-22T17:08:34.887Z,0
7,CAPI,ORIGINAL,7e9c8159-fe30-486e-a303-4362e129720d,6950d3c8a19eb3aaf9ac5fbb,a6268695-c708-4ffd-81d9-4d2ed0146935,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T06:25:50.381Z,2025-12-28T06:34:24.151Z,513,Pending_Approval,,audio/interviews/2025/12/f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132368_interview_f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132367.m4a,513,0,24.3676275,87.8774026,27,2025-12-28T06:52:56.182Z,
7,CAPI,DUPLICATE,a77ce4cd-2ab3-44cf-8259-1e692dd65542,695349e042686268cad812a2,dc57328f-4d02-49fd-a4ac-ce72d78cb094,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T06:25:50.381Z,2025-12-28T06:34:24.151Z,513,Pending_Approval,,audio/interviews/2025/12/f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132368_interview_f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132367.m4a,513,0,24.3676275,87.8774026,27,2025-12-30T03:41:20.445Z,0
7,CAPI,DUPLICATE,8df90766-2cdd-48d8-8b68-684217a8fb6e,69536bc288aaf0f9cc289cfc,d71069f7-1c20-4e6b-b50b-d7d46f7b48ed,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T06:25:50.381Z,2025-12-28T06:34:24.151Z,513,Pending_Approval,,audio/interviews/2025/12/f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132368_interview_f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132367.m4a,513,0,24.3676275,87.8774026,27,2025-12-30T06:05:54.469Z,0
7,CAPI,DUPLICATE,0749c8ee-2083-4088-9756-28574ca7d36a,695373d4768578be640c044d,757218da-1b84-4d29-9742-6f942f58782b,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T06:25:50.381Z,2025-12-28T06:34:24.151Z,513,Pending_Approval,,audio/interviews/2025/12/f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132368_interview_f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132367.m4a,513,0,24.3676275,87.8774026,27,2025-12-30T06:40:20.641Z,0
7,CAPI,DUPLICATE,0b09b55d-9c09-43e4-a3d4-c4ebb61113c7,69537f4c89314eb9fd1aa3a1,5d25ec49-0767-4c33-98d5-5e5fc2cf735e,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T06:25:50.381Z,2025-12-28T06:34:24.151Z,513,Pending_Approval,,audio/interviews/2025/12/f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132368_interview_f6ad23df-88a5-4f1a-adc4-455c385e26a9_1766904132367.m4a,513,0,24.3676275,87.8774026,27,2025-12-30T07:29:16.646Z,0
8,CAPI,ORIGINAL,940c25a7-fbf1-4169-86b5-54678b0715e4,695348af48b445a45d09e906,362d3e35-7646-4acc-aa69-488d1c570604,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T08:00:05.571Z,2025-12-28T08:06:43.109Z,397,Pending_Approval,,audio/interviews/2025/12/7db37dc3-a3c4-45ba-b986-cca25f9e73c2_1766911845061_interview_7db37dc3-a3c4-45ba-b986-cca25f9e73c2_1766911844522.m4a,397,0,24.3588164,87.9110234,27,2025-12-30T03:36:15.329Z,
8,CAPI,DUPLICATE,e0d191e3-7134-4c6d-b5c7-4b2824973f27,6953749870120f168b08eaab,c72050fc-4528-4146-a2cd-164a75f97c87,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T08:00:05.571Z,2025-12-28T08:06:43.109Z,397,Pending_Approval,,audio/interviews/2025/12/7db37dc3-a3c4-45ba-b986-cca25f9e73c2_1766911845061_interview_7db37dc3-a3c4-45ba-b986-cca25f9e73c2_1766911844522.m4a,397,0,24.3588164,87.9110234,27,2025-12-30T06:43:36.600Z,0
8,CAPI,DUPLICATE,2c97c4f0-6038-4650-bc14-c6fb5f1ff788,69537fed6777fcd65e17453d,d5a716dc-380c-4957-89a4-c03d8d63e519,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T08:00:05.571Z,2025-12-28T08:06:43.109Z,397,Pending_Approval,,audio/interviews/2025/12/7db37dc3-a3c4-45ba-b986-cca25f9e73c2_1766911845061_interview_7db37dc3-a3c4-45ba-b986-cca25f9e73c2_1766911844522.m4a,397,0,24.3588164,87.9110234,27,2025-12-30T07:31:57.356Z,0
9,CAPI,ORIGINAL,ad568cfd-7750-441b-89d0-966db38480ed,695348d00b6ecb2caa0b6b18,61eb489f-d20a-470b-84f7-4e4730cfb582,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:09:30.559Z,2025-12-28T09:16:38.808Z,428,Pending_Approval,,audio/interviews/2025/12/e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624305_interview_e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624025.m4a,428,0,24.3581938,87.913879,27,2025-12-30T03:36:48.738Z,
9,CAPI,DUPLICATE,bff4dc69-12b8-4748-977e-cd5722f8d7b6,695370caa8aadd989959f944,56d70f1b-985d-429d-8e8a-03c9b2dc1789,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:09:30.559Z,2025-12-28T09:16:38.808Z,428,Pending_Approval,,audio/interviews/2025/12/e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624305_interview_e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624025.m4a,428,0,24.3581938,87.913879,27,2025-12-30T06:27:22.414Z,0
9,CAPI,DUPLICATE,769074b6-13b4-46b2-ab3a-7d962ea52ccb,695374d505518753ae98d391,206d2219-3e85-4745-a9f7-d56d8350a1b8,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:09:30.559Z,2025-12-28T09:16:38.808Z,428,Pending_Approval,,audio/interviews/2025/12/e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624305_interview_e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624025.m4a,428,0,24.3581938,87.913879,27,2025-12-30T06:44:37.205Z,0
9,CAPI,DUPLICATE,79750bcb-e8d5-4357-8c53-b0ab7e72bd52,69538022fa38c1c0628f5347,a54b8f06-236e-415e-b7f7-2db4afb240b6,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:09:30.559Z,2025-12-28T09:16:38.808Z,428,Pending_Approval,,audio/interviews/2025/12/e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624305_interview_e8b1d34f-03c4-449d-a3bf-8a6a861b9f95_1766933624025.m4a,428,0,24.3581938,87.913879,27,2025-12-30T07:32:50.420Z,0
10,CAPI,ORIGINAL,383d1cac-db05-44b6-a274-ec314cce8a49,695348ee90ffb6ca03625e72,3599680f-5784-4613-999b-32fb8066a549,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:21:30.962Z,2025-12-28T09:29:10.419Z,459,Pending_Approval,,audio/interviews/2025/12/cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826_interview_cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826.m4a,459,0,24.35788,87.9145158,27,2025-12-30T03:37:18.536Z,
10,CAPI,DUPLICATE,e8fa4a30-1993-4ef6-be53-692a8f15124c,695370ed6b3b326af886fc85,74aca760-e256-46ce-9928-164ee3cef85f,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:21:30.962Z,2025-12-28T09:29:10.419Z,459,Pending_Approval,,audio/interviews/2025/12/cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826_interview_cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826.m4a,459,0,24.35788,87.9145158,27,2025-12-30T06:27:57.701Z,0
10,CAPI,DUPLICATE,f03db4e3-2b44-4882-9daf-4328073d05ec,6953750e853a8b6635b6c013,a89db5a3-8efc-469b-ac2e-6b0e8a553969,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:21:30.962Z,2025-12-28T09:29:10.419Z,459,Pending_Approval,,audio/interviews/2025/12/cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826_interview_cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826.m4a,459,0,24.35788,87.9145158,27,2025-12-30T06:45:34.994Z,0
10,CAPI,DUPLICATE,d23c0ec5-5482-433d-897a-3295fbcbdf13,695385a4cf7c262fec9f1454,546310af-4344-4ea3-a320-493ece930475,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:21:30.962Z,2025-12-28T09:29:10.419Z,459,Pending_Approval,,audio/interviews/2025/12/cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826_interview_cd59076b-4824-40d0-8d41-7d59eba8a8ae_1766933703826.m4a,459,0,24.35788,87.9145158,27,2025-12-30T07:56:20.880Z,0
11,CAPI,ORIGINAL,14c91b25-c457-4214-8cec-076af65dff21,6953490af373a663b32c6f56,edada331-7440-41ca-a99e-44cb87819e4b,"6944331c56275b9dd830303c",N/A,"68fd1915d41841da463f0d46",2025-12-28T09:31:24.744Z,2025-12-28T09:38:44.195Z,439,Pending_Approval,,audio/interviews/2025/12/d000d518-f132-4147-88ad-968717c4f772_1766933812165_interview_d000d518-f132-4147-88ad-968717c4f772_1766933811814.m4a,439,0,24.3578432,87.9146089,27,2025-12-30T03:37:46.567Z,
