Response ID,Mongo ID,Session ID,Interview Mode,Old Status,New Status,Abandoned Reason,Gender,Age,Missing Gender,Missing Age,Created At,Updated At
3b13630c-1c0c-424b-8002-dee14e7f1d3a,69540c2421989e29f99409ef,276dfe93-7788-43d1-9ca1-f79fd96a05e7,cati,Pending_Approval,abandoned,Missing Gender or Age information,yes,MISSING,No,Yes,2025-12-30T17:30:12.763Z,2025-12-30T21:05:40.562Z
51987330-4f6c-4fba-a0d5-063092a7bbec,6954075b9f1fa5faba97a7c0,d617285c-8e5f-4500-b480-60353c362a9a,cati,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T17:09:47.808Z,2025-12-30T21:05:40.562Z
e30b6f7b-8be2-4667-a5e0-bc840cd43fa6,6953fd79b35d4378c28f6c51,ec0c2056-c685-4a3d-b668-c32b560b3672,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T16:27:37.237Z,2025-12-30T21:05:40.562Z
4c3c79c7-b9c2-41d6-bb77-63776cf9127f,6953f9b46d226c57097fd80c,7e23f998-7224-4e4e-b82e-c120037b7633,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T16:11:32.263Z,2025-12-30T21:05:40.562Z
fed820cd-c537-468c-bed7-90b9fabc0853,6953f8c812afa7a68ca3a726,d251f743-9a43-4fc5-babf-af5dcd2d032b,cati,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T16:07:36.545Z,2025-12-30T21:05:40.562Z
0c1f58d7-fa63-4936-9d36-598410196fdf,6953f71f4291758e0f305a4c,8b98dd09-807a-4af1-9db3-9c567769b6ab,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T16:00:31.018Z,2025-12-30T21:05:40.562Z
a6d8be88-3486-4c34-b159-97bd3c7086b4,6953f1977491f5768c15c79c,e58116ad-119f-462f-9a3b-cbd5d005a2be,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:36:55.487Z,2025-12-30T21:05:40.562Z
b70067c9-922e-4e0d-92fb-cbd4cf325fcf,6953f11834ea4ef21c5f8650,47c4cde5-513b-4b9b-8955-7354ac6f16e4,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:34:48.141Z,2025-12-30T21:05:40.562Z
a5dfd798-1f5f-454d-a807-1f86bcee94d7,6953f04758ce2e1fbc1b0515,77f1baee-1ce0-4367-a1bf-83140f08d292,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:31:19.836Z,2025-12-30T21:05:40.562Z
298dd59d-ba85-46cb-bdc9-9a5561ee7041,6953efcabad0547143999180,0b13c32b-05be-4c91-beb6-eb88d55eecb7,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:29:14.086Z,2025-12-30T21:05:40.562Z
3cb8dbd2-b6e1-4dd2-9c4a-f89662a180f5,6953efb1dd3cd122b34add84,40d63be2-8ad6-439b-bc08-e9088585b692,cati,Pending_Approval,abandoned,Missing Gender or Age information,yes,MISSING,No,Yes,2025-12-30T15:28:49.315Z,2025-12-30T21:05:40.562Z
03f8fcb2-3694-4c93-87d0-e8052d4525be,6953ef9707e651d88ebc26ff,89eca1b6-49a0-424d-bfa8-47377fe3517b,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:28:23.912Z,2025-12-30T21:05:40.562Z
a687ac03-8cb8-4bea-849d-1d2a497cb78c,6953ecb1f50cf709f45350cb,a4ab738c-5c6b-48e3-9fe2-f316d14d6fee,cati,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:16:01.140Z,2025-12-30T21:05:40.562Z
5bd20c34-34cf-45ff-bf8c-8d79fb81ba97,6953ec750ace7a260f9f5f6e,46775b4d-528b-41d0-85f1-9cad6c91e188,cati,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:15:01.994Z,2025-12-30T21:05:40.562Z
82aa13ff-f7b0-458e-b3f2-c5508a2b0ee0,6953ec4805b4151e82df3186,6f083e12-ae5a-4e05-8f8e-68a30519dc4a,capi,Pending_Approval,abandoned,Missing Gender or Age information,MISSING,MISSING,Yes,Yes,2025-12-30T15:14:16.742Z,2025-12-30T21:05:40.562Z
